tag,mod,text,freq
timex3,age,70-year-old,3
timex3,age,64-year-old,2
timex3,age,in his 60s,3
timex3,age,in her 70s,1
timex3,age,83-year-old,1
timex3,age,74-year-old,5
timex3,age,53 year old,1
timex3,age,26 year old,1
timex3,age,age of 20,1
timex3,age,68 year old,1
timex3,age,82 year old,1
timex3,age,80 year old,1
timex3,age,in his 70s,2
timex3,age,her late 60s,1
timex3,age,70 year old,1
timex3,age,81 year old,2
timex3,age,87 year old,1
timex3,age,45,1
timex3,age,60,1
timex3,age,over the age of 65,1
timex3,age,over the age of 75,1
timex3,age,over the age of 70,1
timex3,age,15 year old,1
timex3,age,68 years,2
timex3,age,range: 52-81,1
timex3,age,56 year old,1
timex3,age,52 year old,1
timex3,age,61-year-old,2
timex3,age,38-year-old,3
timex3,age,42-year-old,3
timex3,age,24-year-old,1
timex3,age,43-year-old,2
timex3,age,68-year-old,2
timex3,age,ranged from 10-55 years,1
timex3,age,45 years,1
timex3,age,in his 20s;,1
timex3,age,8 months,1
timex3,age,"14 years, 8 months",1
timex3,age,"4 years, 2 months",1
timex3,age,33-year-old,2
timex3,age,98 days of age,1
timex3,age,29,1
timex3,age,32,1
timex3,age,63 years old,1
timex3,age,in her 20s,1
timex3,age,6-year-old,2
timex3,age,8-year-old,2
timex3,age,12-month-old,3
timex3,age,15-year-old,1
timex3,age,age of 9,1
timex3,age,age of 10,1
timex3,age,age of 11,1
timex3,age,age of 14,1
timex3,age,5-year-old,1
timex3,age,17-year-old,1
timex3,age,6-month-old,1
timex3,age,2nd day,1
timex3,age,at 5 months,1
timex3,age,at 6 months,1
timex3,age,81-year-old,1
timex3,age,28-year-old,2
timex3,age,age of 2 years,1
timex3,age,age of 7 years,1
timex3,age,37-year-old,1
timex3,age,age of 17,1
timex3,age,58-year-old,3
timex3,age,69-year-old,2
timex3,age,59-year-old,4
timex3,age,41-year-old,2
timex3,age,60-year-old,3
timex3,age,age 5 years,1
timex3,age,under 10 years of age,1
timex3,age,56-year-old,1
timex3,age,53-year-old,1
timex3,age,47-year-old,2
timex3,age,35-year-old,1
timex3,age,19-year-old,1
timex3,age,58 years old,1
timex3,age,72-year-old,1
timex3,age,49-year-old,1
timex3,age,at 46 years old,1
timex3,age,48-year-old,2
timex3,age,25-year-old,1
timex3,age,54-year-old,2
timex3,age,55-year-old,3
timex3,age,65-year-old,2
timex3,age,71-year-old,1
timex3,age,80-year-old,1
timex3,age,32-year-old,1
timex3,age,8 to 85 years,1
timex3,age,49.7 years,1
timex3,age,78-year-old,1
timex3,age,3-year-old,1
timex3,age,at the age of 2 years and 4 months,1
timex3,age,51-year-old,1
timex3,age,At 51,1
timex3,age,18-year-old,1
timex3,age,around the age of 12,1
timex3,age,15,1
timex3,age,12 months old,1
timex3,age,age of 6,1
timex3,age,21-year-old,1
timex3,age,around the age of 15,1
timex3,age,48 year old,1
timex3,age,age of 41,1
timex3,age,52-year-old,2
timex3,age,14 year old,1
timex3,age,13 months,1
timex3,age,41.9 years,1
timex3,age,57-year-old,1
timex3,age,12-year-old,1
timex3,age,66-year-old,3
timex3,age,60 years old,1
timex3,age,67-year-old,1
timex3,age,in her 50s,1
timex3,age,in his 30s,1
timex3,age,85 years and older,1
timex3,age,88-year-old,1
timex3,age,78 years old,1
timex3,age,age of 19,1
timex3,age,34-year-old,1
timex3,age,54 years old,1
timex3,age,71 years old,1
timex3,age,in her 40s,1
timex3,age,75 years old,1
timex3,age,87-year-old,1
timex3,age,81 years old,1
timex3,age,70 years old,1
timex3,age,27 years old,1
timex3,age,53 years old,1
timex3,age,76-year-old,1
timex3,age,around 4 to 10 weeks of fetal life,1
timex3,age,83 years old,2
timex3,age,77-year-old,1
timex3,age,in her 60s,1
timex3,age,69 years old,1
timex3,age,14-year-old,1
timex3,age,62-year-old,1
timex3,age,27-year-old,1
timex3,age,64 years old,1
timex3,age,50-year-old,1
timex3,age,from 61 to 81,1
timex3,age,80 years,1
timex3,age,20-year-old,2
d,positive,hemoptysis,1
d,positive,non-small cell lung cancer,3
d,positive,fever and increased inflammatory response,1
d,positive,hepatic dysfunction,3
d,positive,inflammatory response,2
d,positive,"small, poorly contrast enhanced masses",1
d,positive,lung cancer,8
