tag,mod,text,freq
timex3,age,７０歳,5
timex3,age,６４歳,3
timex3,age,６０歳代,3
timex3,age,７０歳代,2
timex3,age,８３歳,3
timex3,age,７４歳,5
timex3,age,６０代,1
timex3,age,５３歳,3
timex3,age,２６歳,1
timex3,age,２０歳,3
timex3,age,６８歳,5
timex3,age,８２歳,1
timex3,age,８０歳,3
timex3,age,６０歳代後半,1
timex3,age,８１歳,4
timex3,age,８７歳,2
timex3,age,４５歳,2
timex3,age,６０歳,5
timex3,age,６５歳以降,1
timex3,age,７５歳以上,1
timex3,age,７０歳以上,1
timex3,age,１５歳,3
timex3,age,５２－８１歳,1
timex3,age,５６歳,2
timex3,age,５２歳,3
timex3,age,６１歳,2
timex3,age,３８才,1
timex3,age,４２才,1
timex3,age,２４才,1
timex3,age,４３歳,2
timex3,age,１０－５５歳,1
timex3,age,２０代,2
timex3,age,０歳８か月,1
timex3,age,１４歳８か月,1
timex3,age,４歳２か月,1
timex3,age,３３歳,2
timex3,age,日齢９８,1
timex3,age,２９歳,1
timex3,age,３２歳,2
timex3,age,６３歳,1
timex3,age,６歳,3
timex3,age,８歳,2
timex3,age,１歳,4
timex3,age,９歳時,1
timex3,age,１０歳時,1
timex3,age,１１歳時,1
timex3,age,１４歳時,1
timex3,age,５歳,1
timex3,age,１７歳,1
timex3,age,６か月,1
timex3,age,日齢２,1
timex3,age,５か月時,1
timex3,age,６か月時,1
timex3,age,２８歳,2
timex3,age,２歳,1
timex3,age,７歳,1
timex3,age,３７才,1
timex3,age,１７才,1
timex3,age,５８歳,3
timex3,age,６９歳,3
timex3,age,５９歳,3
timex3,age,５９才,1
timex3,age,４１歳,2
timex3,age,５歳時,1
timex3,age,１０歳以下,1
timex3,age,４７歳,2
timex3,age,３５歳,1
timex3,age,１９歳,2
timex3,age,７２歳,1
timex3,age,４９歳,1
timex3,age,４６歳時,1
timex3,age,４８歳,2
timex3,age,２５才,1
timex3,age,５４歳,2
timex3,age,５５歳,3
timex3,age,６５歳,2
timex3,age,７１歳,2
timex3,age,８～８５歳,1
timex3,age,４９．７,1
timex3,age,７８歳,2
timex3,age,３才,1
timex3,age,２才４ケ月時,1
timex3,age,５１歳,1
timex3,age,３８歳,2
timex3,age,５１歳時,1
timex3,age,１８歳,1
timex3,age,１２歳頃,1
timex3,age,２１歳,1
timex3,age,１５歳頃,1
timex3,age,４８才,1
timex3,age,４１才時,1
timex3,age,１４歳,2
timex3,age,１歳１ヶ月,1
timex3,age,４１．９歳,1
timex3,age,５７歳,1
timex3,age,１２歳,1
timex3,age,６６歳,3
timex3,age,６７歳,1
timex3,age,５０歳代,1
timex3,age,４２歳,2
timex3,age,７０代,1
timex3,age,３０代,1
timex3,age,８５歳以上,1
timex3,age,８８歳,1
timex3,age,３４歳,1
timex3,age,５４才,1
timex3,age,４０歳代,1
timex3,age,７５歳,1
timex3,age,２７歳,2
timex3,age,７６歳,1
timex3,age,胎生４から１０週頃,1
timex3,age,７７歳,1
timex3,age,５８才,1
timex3,age,６２歳,1
timex3,age,５０歳,1
timex3,age,６１～８１歳,1
d,positive,血疾,1
d,positive,非小細胞肺癌,3
d,positive,発熱と炎症反応上昇,1
d,positive,肝機能障害,7
d,positive,炎症反応,3
d,positive,肺癌,8
d,positive,造影効果が乏しい小腫瘤,1
d,positive,凝固壊死と思われる肝細胞壊死,1
d,positive,炎症による多発肝腫瘤,1
d,positive,多発肝腫瘤,3
d,positive,肝腫瘤,1
d,positive,壊死性多発肝腫瘤,3
d,positive,病理組織像,1
d,positive,ニボルマブ関連胆管炎,2
d,positive,胃癌,10
d,positive,腹膜，左鎖骨上リンパ節再発,1
d,positive,乾癬型薬疹,1
d,positive,炎症細胞浸潤と内皮炎,1
d,positive,リンパ球浸潤，胆管上皮障害,1
d,positive,Ｌａｎｇｈａｎｓ型多核巨細胞を含む非乾酪性類上皮細胞肉芽種,1
d,positive,リンパ球,1
d,positive,ＣＤ８陽性，ＣＤ４陽性リンパ球,2
d,positive,再燃,1
