tag,mod,text,freq
d,positive,consolidation,2
d,positive,bronchiectasis,1
d,positive,pleural invagination,3
d,positive,lung cancer,15
d,positive,lesion,2
d,positive,infiltrative shadow,1
d,positive,pleural infiltration,2
d,positive,obstructed,3
d,positive,mass,24
d,positive,ground glass shadows,1
d,positive,obstructive pneumonia,1
d,positive,infiltration,5
d,positive,nodular shadow,5
d,positive,Lymphadenopathy,1
d,positive,metastatic lymph nodes,2
d,positive,multiple masses,1
d,positive,multiple metastases,2
d,positive,blurring,1
d,positive,multiple nodules,2
d,positive,mass-like opacities,1
d,positive,osteogenic masses,1
d,positive,chronic liver damage,2
d,positive,irregular mass lesion,1
d,positive,infiltration shadows and ground-glass shadowing,1
d,positive,expanded image,1
d,positive,linear shadow,1
d,positive,nodule,5
d,positive,obstructing,1
d,positive,atelectasis,5
d,positive,swollen,9
d,positive,multiple tumours,1
d,positive,decrease,1
d,positive,irregular mass,3
d,positive,stenosis,2
d,positive,shadow,1
d,positive,tubercle,1
d,positive,old-fashioned inflammatory change,1
d,positive,pathological lymphadenopathy,1
d,positive,multiple lymphadenopathy,1
d,positive,low-absorption masses,1
d,positive,multiple liver metastases,1
d,positive,nodular shadows,5
d,positive,neoplastic lesion accompanying spicula as well as tightening of the pleura,1
d,positive,micronodules and nodules,1
d,positive,swelling in the lymph nodes,1
d,positive,osteosclerotic shadowing,1
d,positive,tumour,9
d,positive,lymph nodes,3
d,positive,occluded,2
d,positive,tumour infiltration,1
d,positive,atelectic,1
d,positive,pathological swollen lymph nodes,2
d,positive,nodules,17
d,positive,primary tumour,1
d,positive,metastases,3
d,positive,cirrhotic,1
d,positive,osteosclerotic image,1
d,positive,Osteosclerosis,3
d,positive,lobular mass lesion,1
d,positive,air,1
d,positive,cavitary lesion,1
d,positive,Ground-glass shadows,2
d,positive,nodular shadows and mass shadows,1
d,positive,invades,2
d,positive,Metastasis to the left hilar and mediastinal lymph nodes,1
d,positive,neoplastic lesion,3
d,positive,invasion,3
d,positive,nodule shadows,3
d,positive,lung metastases,1
d,positive,Constriction,1
d,positive,area of increased density with a ground-glass like appearance,1
d,positive,constriction of the bronchi,1
d,positive,multiple lymphatic swellings,1
d,positive,neoplastic lesions,2
d,positive,several nodular shadows,1
d,positive,neoplastic shadows,1
d,positive,swelling,2
d,positive,renal cysts,1
d,positive,mass lesion with a cavity,1
d,positive,cancer,1
d,positive,contact,1
d,positive,Nodular shadows and ground-glass shadows,1
d,positive,Emphysematous changes,6
d,positive,Pathological swelling,1
d,positive,ipsilateral mediastinal/hilar lymph nodes,1
d,positive,metastasis,5
d,positive,air bronchogram,2
d,positive,ground-glass shadow,7
d,positive,tumor,4
d,positive,ground glass-like concentration,1
d,positive,Nodules,4
d,positive,benign lesions,2
d,positive,"Bilateral lung metastases, subtracheal bifurcation, and bilateral mediastinal lymph node metastases",1
d,positive,primary tumor,1
d,positive,bilateral supraclavicular lymph nodes,1
d,positive,ground-glass opacity (lepidic pattern),1
d,positive,tumors,1
d,positive,Infiltration and bone destruction,1
d,positive,mass lesion,8
d,positive,pneumonia and atelectasis,1
d,positive,tumour progression,1
d,positive,high-density area,1
d,positive,infiltrated,2
d,positive,lymphadenopathy,3
d,positive,left lung lower lobe lung cancer,1
d,positive,Severe stenosis,1
d,positive,Ground glass shadow,1
d,positive,stenotic,1
d,positive,Nodule shadows,1
d,positive,enlarged lymph nodes,1
d,positive,hypovascular tumors,1
d,positive,Massive tumor,1
d,positive,Multiple nodules,3
d,positive,Left renal cyst,1
d,positive,irregular shadow,2
d,positive,spicula and pleural incarceration,1
d,positive,Nodular shadows,1
d,positive,intrapulmonary mass,1
d,positive,right hilar lymph node,1
d,positive,enlarged,2
d,positive,left pleural thickening,1
d,positive,GGN,6
d,positive,solid part,6
d,positive,emphysematous changes,8
d,positive,cord-like shadows,1
d,positive,soft tissue mass,1
d,positive,narrowed,4
d,positive,Swelling lymph nodes,2
d,positive,spicula,1
d,positive,osteosclerotic changes,1
d,positive,bone metastasis,1
d,positive,bulla,2
d,positive,Ground-glass-like shadows,1
d,positive,high absorption area,1
d,positive,Ground-glass shadowing,1
d,positive,cord-like shadow,3
d,positive,hiatal hernia,1
d,positive,lung adenocarcinoma,1
d,positive,solid nodule,1
d,positive,tracheal dilatation,1
d,positive,ground-glass nodule,4
d,positive,Emphysema,2
d,positive,polymorphic small nodule,1
d,positive, a cord-like shadow,1
d,positive,Arteriosclerosis,1
d,positive,spiculated,1
d,positive,primary lesion,1
d,positive,lymphatic tract development,1
d,positive,calcified lymph nodes,1
d,positive,cavity,4
d,positive,lesions,1
d,positive,disrupted,1
d,positive,Swelling,1
d,positive,mediastinal lymph nodes,1
d,positive,Liver cyst and mild splenomegaly,1
d,positive,Bulla,4
d,positive,disruption,1
d,positive,Infiltration of the chest wall,1
d,positive,emphysemic change,1
d,positive,invaded,2
d,positive,osteolytic changes,1
d,positive,highly stenotic,1
d,positive,aeration,1
d,positive,Irregular nodules,3
d,positive,ground-glass opacity,1
d,positive,obstructive pneumonia caused by a mass or mucus plug,1
d,positive,enlarge,1
d,positive,pathologically enlarged lymph nodes,2
d,positive,masses,4
d,positive,metastatic,1
d,positive,fat layer between the mass and the pleura has disappeared,1
d,positive,irregular nodules,1
d,positive,accessory tumour nodules,1
d,positive,chest wall infiltration,1
d,positive,multiple intrapulmonary metastases,3
d,positive,SSN,1
d,positive,linear cord-like shadow,1
d,positive,mass shadow,1
d,positive,Enlarged lymph nodes,1
d,positive,pure GGN,2
d,positive,nodule that appears to be an old inflammatory change,1
d,positive,indication of damage,1
d,positive,small nodular shadows,1
d,positive,lung adenocarcinoma lesion,1
d,positive,pleural infiltration images,1
d,positive,Calcification,1
d,positive,Upper left lobe lung cancer,1
d,positive,part-solid GGN,2
d,positive,pulmonary nodules,1
d,positive,multiple bone metastases,1
d,positive,enhanced part,1
d,positive,poorly enhanced area,1
d,positive,narrowed by the tumour,1
d,positive,partial atelectasis,1
d,positive,slightly hyper-inflated,1
