tag,mod,text,freq
a,,左舌区,2
a,,気管支区域に沿った,1
a,,内部,15
a,,周囲,3
a,,右肺下葉気管支区域に沿う,1
a,,葉間胸膜と広く接し,1
a,,右中間気管支,1
a,,右肺下葉,16
a,,右肺動脈、右肺静脈、大動脈弓部,1
a,,右肺上葉,4
a,,右肺門、同側縦隔、対側縦隔、対側肺門、左鎖骨上窩,1
a,,皮膚、肝、右副腎,1
a,,両肺,8
a,,右下葉縦隔側,1
a,,胸椎,1
a,,肝,6
a,,副腎,3
a,,左肺舌区S4の外側を中心,1
a,,細気管支,1
a,,辺縁部,2
a,,胸膜につながる,1
a,,胸膜,2
a,,右下葉気管⽀,1
a,,気管分岐下リンパ節,1
a,,両側の縦隔リンパ節，左鎖⾻上窩リンパ節,1
a,,肝，副腎，⾻,3
a,,Th7椎体,1
a,,肺門部を主体として,1
a,,気管支,2
a,,末梢側,2
a,,胸膜直下,3
a,,その他肺野,6
a,,右肺門から気管分岐部、同側・対側縦隔,1
a,,右副腎,5
a,,胸壁や乳房内,1
a,,右肺下葉の内側,1
a,,両側肺野,7
a,,右肺門、縦隔,1
a,,第8～１１胸椎椎体,1
a,,右肺門部,6
a,,境界,2
a,,右中葉・下葉気管支,2
a,,近傍の内腔,1
a,,中葉,1
a,,縦隔、左鎖骨上窩,1
a,,撮像範囲,4
a,,肺門や縦隔、鎖骨上窩,2
a,,撮像範囲の肝や副腎,1
a,,第8－11胸椎椎体,1
a,,上位胸椎や腰椎の終板,1
a,,左肺下葉,10
a,,S9/10領域を中心として,1
a,,中枢側,4
a,,気管支血管束に沿った,1
a,,左肺門から縦隔内,1
a,,対側肺,1
a,,観察可能な範囲,2
a,,右肺下葉から肺門部,1
a,,。肺動脈、右肺下葉気管支など,1
a,,右肺下葉気管支,1
a,,右肺上葉S1外層,1
a,,右肺門～上縦隔,1
a,,両側乳房,2
a,,肝門部、胃小弯側、大動脈周囲のリンパ節,1
a,,胆、膵、脾,1
a,,右腹壁の皮下,1
a,,骨,2
a,,左下葉S9を主体に,1
a,,気管支に沿った,1
a,,背景肺野,2
a,,気管分岐下,2
a,,右上葉S3,1
a,,右下葉S6,4
a,,肺野,7
a,,鎖骨上窩、肺門部、縦隔,1
a,,撮像範囲の上腹部臓器,5
a,,右肺⾨部,1
a,,右下葉気管⽀内部,1
a,,右肺上葉の内層と胸膜直下,1
a,,両側乳房，肝，右副腎，腹部⽪下,1
a,,左肺上葉S4,1
a,,辺縁,3
a,,縦隔、肺門、腋窩など,1
a,,観察範囲内,7
a,,左肺上葉の外側,1
a,,右肺尖部,8
a,,Th2、Th3椎体および右第2-3肋骨,1
a,,右下葉の中枢側,1
a,,右肺下葉末梢,2
a,,右肺門から上縦隔内にかけて,1
a,,気管支区域に沿って,1
a,,左気管支,1
a,,同側肺門、縦隔,1
a,,右中下葉気管支,2
a,,右下葉,8
a,,右上葉気管支,2
a,,右上葉,1
a,,縦隔や左鎖骨上窩、左胃動脈領域、肝門部、傍大動脈,1
a,,肝内,3
a,,皮下,1
a,,その他の腹部臓器,1
a,,右下葉や左上葉,1
a,,縦隔や肺門,5
a,,辺縁主体,1
a,,右第2・3肋骨、Th2・3椎体,1
a,,Th2レベル,1
a,,脊柱管内,2
a,,右肺中葉や両肺下葉外層,1
a,,肺・縦隔,5
a,,左肺下葉S6,2
a,,上肺野,4
a,,右肺上葉や両肺下葉,1
a,,右肺底部,1
a,,中下葉,1
a,,気管分岐部,1
a,,含気肺部分,1
a,,縦隔や左鎖骨上窩,1
a,,胸腰椎,1
a,,肺野背景,2
a,,肺尖部,3
a,,左肺上葉,2
a,,中心,1
a,,胸膜とは離れて,3
a,,両肺下葉背側,2
a,,縦隔・肺門リンパ節,3
a,,肺下葉,1
a,,左肺⾆区S4,1
a,,左肺上葉S1+2の胸膜直下,1
a,,背景肺,4
a,,右肺中葉S5,1
a,,右肺下葉S6,4
a,,撮像内の上腹部臓器,1
a,,両肺尖部,3
a,,縦隔,1
a,,右肺門や縦隔,1
a,,Th8-11椎体,2
a,,左肺上葉外側,1
a,,同一肺葉内,2
a,,胸膜と広範に接し,1
a,,胸膜外脂肪層,2
a,,肋骨,1
a,,横隔膜とも一部接し,1
a,,左肺門や気管分岐下や大動脈下などの同側,1
a,,撮像内の腹部,3
a,,両側肺尖部,3
a,,右下葉S9,1
a,,外側,1
a,,胸壁に広範囲に接し,1
a,,左下葉,2
a,,"左肺門部リンパ節、#5,#7縦隔リンパ節",1
a,,右肺上葉を中心,1
a,,肺尖部から縦隔、後方胸壁,1
