tag,mod,text,freq
timex3,date,前回,7
timex3,date,同年１２月,1
timex3,date,明日,1
timex3,date,２０２７／７,1
timex3,date,本日,1
timex3,date,昨日,1
timex3,date,２０２６／３／６ー７,1
timex3,date,３月末,1
timex3,date,今週末（８／２７）,1
timex3,date,９／２７,1
timex3,date,２年前頃,1
timex3,date,その後,1
timex3,date,2013.5.30,1
timex3,date,2010.8.3,1
timex3,date,2010.8.16,1
timex3,date,2010.12.27,1
timex3,date,2012.5.7,1
timex3,date,2011.8.29,1
timex3,date,５年前,1
d,positive,すりガラス影や網状影，牽引性気管支拡張，蜂巣肺,1
d,positive,濃度上昇,4
d,positive,間質性肺炎,1
d,positive,右肺S2結節,1
d,positive,すりガラス影,1
d,positive,感染の合併,1
d,positive,骨折後の変化,2
d,positive,石灰化,3
d,positive,原発性肺癌,1
d,positive,下痢・食欲不振,1
d,positive,小リンパ節,3
d,positive,結節,1
d,positive,充実部分,1
d,positive,結節影,1
d,positive,リンパ節,3
d,positive,均等影,1
d,positive,気管支拡張影,1
d,positive,リンパ節腫大,1
d,positive,両側肺胸水,1
d,positive,陰影,1
d,positive,網状影,2
d,positive,収縮性変化,1
d,positive,開きにくい,1
d,positive,発熱,1
d,positive,息切れ,1
d,positive,痰,1
d,positive,食思不振,1
d,positive,ＮＨＬ,1
d,positive,すりが荒らす影,1
d,positive,術後変化,1
d,positive,左肺胸水,1
d,positive,局所再発,1
d,positive,ＩＰ（ＩＰＦ，　ＮＳＩＰ，　ｏｔｈｅｒｓ）,1
d,positive,網状影や牽引性気管支拡張像,2
d,positive,斑状すりガラス影,2
d,positive,間質性肺炎に伴う変化,2
d,positive,小LDA,2
d,positive,両腎嚢胞,1
d,positive,陰影増強,1
d,positive,間質性肺炎（UIP-like）,1
d,positive,労作性呼吸困難,1
d,positive,肺気腫,1
d,positive,UIP pattern,1
d,positive,眼瞼皮膚炎,1
d,positive,皮膚掻痒,1
d,positive,高脂血症,1
d,positive,Ｂ型急性肝炎,1
a,,右肺下葉,2
a,,右肺,4
a,,左第1肋骨,1
a,,両側肺上葉,1
a,,左肺尖部,2
a,,縦隔・肺門,1
a,,両側肺下葉,1
a,,左第3肋骨,1
a,,両側肺下葉胸膜直下,1
a,,内部空洞の辺縁に沿って,1
a,,ＳＶＣ,1
a,,縦隔内,3
a,,両肺,1
a,,左気管傍縦隔,1
a,,両肺上葉,1
a,,気管分岐下、左右下部気管支傍,1
a,,縦隔や肺門のリンパ節,1
a,,右眼瞼,1
a,,胸膜直下,2
a,,＃４Ｌ縦隔,1
a,,直腸,1
a,,胃,1
a,,両側胸膜直下,1
a,,肺底部,1
a,,右側,2
a,,大動脈,2
a,,甲状腺両葉,2
a,,右側肺底部,1
a,,胸部,1
a,,上葉優位,1
a,,下葉優位,1
c,,わずかに減少,1
c,,増悪傾向,2
c,,消失,2
c,,強くなっています,1
c,,増強,1
c,,少し増悪,2
c,,わずかに増強,1
c,,著変なし,2
c,,経時的変化に乏しい,1
c,,縮小はみられない,1
c,,ほぼ同様,1
c,,減量,1
c,,増悪,1
c,,出現,1
c,,悪化,1
f,,一様,1
f,,散在,4
f,,非典型的,1
f,,病的有意,1
f,,優位,4
f,,不均一,2
f,,境界明瞭・辺縁平滑,1
f,,散見,3
f,,局在性,1
f,,びまん性,1
f,,径3cm以下,1
f,,縦隔条件で１．６×１．６ｃｍ,1
f,,有意なサイズ,2
f,,Positive size,1
f,,少量,1
f,,軽度,1
f,,病的有意な大きさではありません,1
f,,中程度,1
f,,短径４ｃｍ程度,1
f,,短径は１．９ｃｍ,1
f,,有意,1
f,,徐々に,1
d,suspicious,急性肺炎,2
d,suspicious,NSIP感染の合併,1
d,suspicious,炎症後結節,1
d,suspicious,サルコイド結節,1
d,suspicious,IPF/UIP,1
d,suspicious,慢性過敏性肺臓炎,1
d,suspicious,良性結節,1
d,suspicious,間質性肺炎,3
d,suspicious,細菌・ウイルス・ニューモシスチスのような感染症の合併,1
d,suspicious,NSIP pattern,1
d,negative,小リンパ節腫大,1
d,negative,気胸嚢胞,1
d,negative,咽頭癌,1
d,negative,リンパ節腫大,4
d,negative,浸潤所見,1
d,negative,LN,1
d,negative,びまん性気胸腔,1
d,negative,咳,1
d,negative,ＤＯＥ,1
d,negative,骨転移を疑う所見,1
d,negative,蜂巣肺,1
d,negative,胸水貯留,2
timex3,med,術後,5
timex3,med,鎮静後,1
timex3,med,ケモ時,1
timex3,med,睡眠時,1
d,general,ＩＰ,2
d,general,感染,1
d,general,間質性肺炎,1
d,general,特発性間質性肺炎,1
d,general,膠原病,1
d,general,二次性間質性肺炎,1
d,general,過敏性肺炎,1
d,,ｃＴ１ｃ,1
d,,Ｎ０,1
m-key,negated,オフェブ,1
m-key,negated,ピレスパ,1
m-key,negated,咳止め,1
timex3,time,朝,1
timex3,time,現在,1
t-key,,喫煙,2
t-key,,ＳｐＯ２,1
t-key,,ＦＥＶ１,1
t-key,,ＫＬ－６,1
t-key,,ｃｏｎｓ,1
t-key,,喫煙を始めた年齢,1
t-key,,やめた年齢,1
t-key,,MRC,2
t-key,,SpO2,1
t-key,,平均SpO2,1
t-key,,SpO2度数分布（＆＜９０％）,1
t-key,,Hugh-Jones,1
t-key,,VC,1
t-key,,FEV1.0,1
t-key,,FRC,1
t-key,,DLCO,1
t-val,,２０本／ｄａｙ,1
t-val,,禁煙,2
t-val,,９４－９５％,1
t-val,,１．９７Ｌ（８０．０％）,1
t-val,,５５９,1
t-val,,ａｌｅｒｔ,1
t-val,,grade 3,2
t-val,,90% (RA),1
t-val,,89%,1
t-val,,62.11%,1
t-val,,II,1
t-val,,2.27 (120.3%),1
t-val,,1.58 (120.2%),1
t-val,,2.35 (159.8%),1
t-val,,3.53 (30.2%),1
t-val,,20本,1
timex3,duration,４０年,1
timex3,age,５９歳,1
timex3,age,２０歳,1
timex3,age,７５歳,1
timex3,age,32歳,1
timex3,set,頻回,1
timex3,set,１日３回,1
timex3,set,１日１回朝,1
m-key,executed,ｎａｓａｌ,1
m-key,executed,プレドニン,1
m-key,executed,経腸栄養,1
m-key,executed,ステロイド,1
m-val,,１Ｌ／ｍｉｎ,1
m-val,,６Ｌ／ｍｉｎ,1
m-val,,１００ｍＬ／１ｈｒ,1
m-val,,１２００ｍｇ,1
m-val,,２．５ｍｇ,1
p,,酸素化低下,1
p,,ｓｐａｒｅ,1
p,,ＬＮｓ,1
p,,Ｃｏｒｏｎａｒｙ,1
p,,Possible UIP pattern,1
p,,spare,1
t-test,executed,胸部ＣＴ,1
t-test,executed,ＣＡＧ,1
t-test,executed,在宅パルスオキシメーター,1
t-test,executed,精密呼吸機能,1
t-test,executed,CT,1
t-test,executed,既往歴,1
t-key,scheduled,６分間歩行,1
m-key,scheduled,プルモケア,1
m-val,executed,１０ｍｇ,1
m-val,scheduled,７．５ｍｇ,1
r,negated,ＰＣＩ,1
r,executed,除細動,1
r,executed,胸部左肺上葉切除,1
r,executed,ピレスパ,2
cc,executed,入院,1
cc,executed,通院中,1
cc,executed,受診,1
cc,executed,紹介受診,1
cc,scheduled,退院,1
cc,scheduled,入院,1
t-test,scheduled,ＣＴ,1
r,scheduled,HOT,1
